Song,Artist,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,dataset,kmeans,dbscan
Stand By Me,Lil Durk Featuring Morgan Wallen,1fXnu2HzxbDtoyvFPWG3Bw,0.756,0.582,11,-7.726,1,0.0343,0.0592,0.0,0.161,0.605,134.07,Hot,2,0
Luna,Peso Pluma & Junior H,3RA55zrRkyPK8Fd86hrMy8,0.747,0.629,9,-8.509,0,0.0363,0.328,0.00409,0.154,0.793,127.819,Hot,3,0
Pluto To Mars,Lil Uzi Vert,0WCJSIy75ZVxqY51ce0enc,0.807,0.627,11,-6.829,1,0.0771,0.0225,0.0,0.0904,0.761,122.963,Hot,2,0
Bye,Peso Pluma,2VzCjpKvPB1l1tqLndtAQa,0.807,0.595,0,-7.19,1,0.0325,0.31,2.44e-05,0.0735,0.392,92.491,Hot,2,0
"Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma,5AqiaZwhmC6dIbgWrD5SzV,0.854,0.668,5,-7.848,0,0.0466,0.264,5.61e-05,0.117,0.805,132.966,Hot,3,0
Peaches & Eggplants,Young Nudy Featuring 21 Savage,2KcQ0PbPj0O3P48B9YX7iN,0.911,0.536,4,-7.884,0,0.282,0.00897,3.73e-06,0.111,0.584,146.014,Hot,3,0
Your Heart Or Mine,Jon Pardi,7ETjhPaIU4UmHOiimJBZz9,0.639,0.713,5,-4.368,0,0.0337,0.0539,0.0,0.102,0.717,86.1,Hot,3,0
"Mama, I'm Sorry",Lil Uzi Vert,5V5Xpbmqi2rp1xSJWZTvYu,0.783,0.594,4,-4.943,0,0.105,0.774,0.0,0.169,0.596,128.177,Hot,3,0
What It Is (Block Boy),Doechii Featuring Kodak Black,1O8zCu3dLLPxkbGfIsbRgE,0.731,0.744,1,-5.77,0,0.174,0.109,0.0,0.123,0.727,171.859,Hot,3,0
Amped,Lil Uzi Vert,4daEMLSZCgZ2Mt7gNm2SRa,0.64,0.609,1,-7.714,0,0.304,0.492,2.47e-06,0.152,0.393,131.889,Hot,3,0
"You, Me, & Whiskey",Justin Moore & Priscilla Block,2BLlpdGCv0IErmH3OBGHYJ,0.555,0.88,0,-4.351,0,0.0535,0.0803,0.0,0.174,0.422,144.076,Hot,3,0
Daylight,David Kushner,1odExI7RdWc4BT515LTAwj,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,Hot,6,0
Patience,Lil Uzi Vert Featuring Don Toliver,31UNoCt5Oq4isrb3SSf1ZK,0.645,0.732,4,-2.94,0,0.0306,0.0502,1.16e-06,0.161,0.121,106.963,Hot,3,0
Nakamura,Lil Uzi Vert,2lophWrG2xqv9CSgSPca5k,0.52,0.876,5,-3.707,1,0.0606,0.0414,0.0,0.418,0.38,160.008,Hot,7,0
Baby Don't Hurt Me,"David Guetta, Anne-Marie & Coi Leray",3BKD1PwArikchz2Zrlp1qi,0.602,0.91,7,-3.404,1,0.0308,0.00126,0.000174,0.12,0.228,127.944,Hot,7,0
TQG,Karol G x Shakira,0DWdj2oZMBFSzRsi2Cvfzf,0.72,0.63,4,-3.547,0,0.277,0.673,0.0,0.0936,0.607,179.974,Hot,3,0
Popular,"The Weeknd, Playboi Carti & Madonna",2BRk8p8Mc39p4sMULNPKXC,0.765,0.434,1,-14.769,1,0.0718,0.0165,0.884,0.0968,0.114,99.29,Hot,5,0
Mourning,Post Malone,0gWrMbx6pbdH3n3nsLjE55,0.596,0.651,9,-4.604,1,0.0331,0.0971,0.0,0.279,0.255,73.959,Hot,2,0
